asset,current_price,prev_close,opens,bids,ask,day_range_min,day_range_max,fifty_two_wk_min,fifty_two_wk_max,volume,avg_volume,market_cap,beta,PE_ratio,eps,earnings_date_min,earnings_date_max,dividend_yield,dividend_date,one_year_est,RSI,Adj_Close,Change,Gain,Loss,AVG_gain,AVG_Loss,RS,target
(EOG),55.3,61.87,58.92,55250.0,55460.0,53.87,59.9,53.87,107.89,9859077.0,4208942.0,32.188,1.51,11.74,4.71,"Apr 29, 2020 "," May 03, 2020","['1.50', '(2.42%)']","Apr 14, 2020",99.26,,,,,,,,,
(UNP),156.09,154.96,149.52,152000.0,159000.0,148.88,156.93,148.88,188.96,4540895.0,3246506.0,107.743,1.1,18.63,8.38,"Apr 15, 2020 "," Apr 19, 2020","['3.88', '(2.50%)']","Feb 26, 2020",198.25,,,,,,,,,
(AYR),31.78,31.24,31.55,30240.0,33000.0,31.38,31.88,18.63,32.47,4858164.0,591878.0,2.387,1.34,15.43,2.06,"Apr 29, 2020 "," May 03, 2020","['1.28', '(4.10%)']","Feb 26, 2020",31.25,,,,,,,,,
(EXPE),91.85,91.51,88.26,90060.0,91780.0,88.0,92.94,88.0,144.0,4773936.0,2838624.0,12.858,1.03,24.36,3.77,"Apr 29, 2020 "," May 03, 2020","['1.36', '(1.49%)']","Mar 08, 2020",135.79,,,,,,,,,
(EGO),9.39,9.64,9.68,9340.0,9340.0,8.93,9.72,3.05,11.29,4985276.0,3258124.0,1.553,1.64,18.78,0.5,N,/,"['N/A', '(N/A)']","Mar 02, 2017",1.98,57.989353643308974,9.39,-0.25,0.0,0.25,0.2178751426221288,0.15784062058894818,1.3803489989406703,2.0
(TWO),13.56,14.01,13.62,13320.0,13740.0,13.09,13.73,12.06,15.85,4703132.0,2115655.0,3.71,0.72,14.63,0.93,"May 04, 2020 "," May 10, 2020","['1.60', '(11.42%)']","Dec 29, 2019",15.58,,,,,,,,,
(NI),29.46,29.63,28.85,27820.0,30430.0,28.52,29.63,25.94,30.67,6649734.0,3578791.0,11.261,0.2,33.86,0.87,"Apr 28, 2020 "," May 03, 2020","['0.84', '(2.83%)']","Feb 09, 2020",30.33,54.51883612461956,29.46,-0.16999999999999815,0.0,0.16999999999999815,0.21922856673041224,0.1828867062906368,1.1987124224437742,2.0
(RDS-B),41.87,44.04,43.15,41850.0,42450.0,41.76,43.38,41.76,67.45,8753220.0,3857642.0,162.369,0.93,10.74,3.9,N,/,"['3.76', '(8.54%)']","Feb 12, 2020",76.75,,,,,,,,,
(GOOS),24.98,25.36,24.62,24410.0,25490.0,24.06,25.4,24.06,55.49,4623619.0,2471049.0,2.744,2.83,36.57,0.68,N,/,"['N/A', '(N/A)']",,32.9,,,,,,,,,
(ENB),38.02,38.49,37.5,37110.0,38190.0,37.02,38.14,32.23,43.15,6446342.0,3757808.0,77.158,1.1,52.37,0.73,N,/,"['2.40', '(6.25%)']","Feb 12, 2020",45.03,,,,,,,,,
(IRM),31.77,32.12,31.22,30750.0,31770.0,30.74,31.96,29.08,36.65,4448962.0,2953867.0,9.129,0.6,34.16,0.93,"Apr 22, 2020 "," Apr 26, 2020","['2.47', '(7.70%)']","Mar 12, 2020",34.44,,,,,,,,,
(DHR),148.43,149.47,145.23,140100.0,148750.0,143.37,148.96,123.5,169.19,2858576.0,10475200.0,103.342,0.85,36.61,4.05,"Apr 15, 2020 "," Apr 19, 2020","['0.72', '(0.48%)']","Mar 25, 2020",175.75,,,,,,,,,
(SPWR),8.55,9.35,9.03,8350.0,8550.0,8.41,9.26,5.96,16.04,4321793.0,3964263.0,1.44,1.76,57.0,0.15,"May 06, 2020 "," May 10, 2020","['N/A', '(N/A)']",,9.19,45.00580153149388,8.55,-0.7999999999999989,0.0,0.7999999999999989,0.1899010331147483,0.2320468639399471,0.8183736245791023,2.0
(PBF),17.06,17.62,17.63,17040.0,17060.0,16.55,17.63,16.55,35.15,4441720.0,1938893.0,2.044,1.73,6.45,2.64,"Apr 28, 2020 "," May 03, 2020","['1.20', '(6.81%)']","Feb 23, 2020",37.0,,,,,,,,,
(MBT),9.45,9.81,9.42,9400.0,10520.0,9.35,9.49,7.39,11.0,3631025.0,3293339.0,8.584,0.88,78.1,0.12,N,/,"['0.90', '(9.19%)']","Jan 08, 2020",759.53,,,,,,,,,
(LKQ),27.52,28.23,27.25,26430.0,29710.0,27.17,28.15,24.44,36.63,4339738.0,2000772.0,8.453,1.38,15.82,1.74,"Apr 22, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,40.6,25.317823807459373,27.52,-0.7100000000000009,0.0,0.7100000000000009,0.1577039818212196,0.4651930847692961,0.3390075798298463,0.0
(VIV),12.2,12.32,11.97,9030.0,13580.0,11.85,12.28,10.91,14.68,2319726.0,1625365.0,19.827,0.61,8.74,1.4,N,/,"['0.48', '(4.04%)']","Mar 01, 2020",15.49,,,,,,,,,
(AOS),42.69,41.63,40.49,42730.0,42630.0,40.41,42.86,38.09,56.66,4342015.0,1952086.0,6.915,1.49,19.23,2.22,"Apr 27, 2020 "," May 03, 2020","['0.96', '(2.31%)']","Jan 29, 2020",43.83,,,,,,,,,
(PHM),41.5,42.96,41.36,40210.0,41440.0,40.31,42.03,25.24,47.37,3949333.0,3543506.0,11.204,0.6,11.35,3.66,"Apr 20, 2020 "," Apr 26, 2020","['0.48', '(1.12%)']","Mar 11, 2020",48.3,40.91946897873113,41.5,-1.4600000000000009,0.0,1.4600000000000009,0.3637528154436725,0.5251952196169528,0.6926049626060437,2.0
(USFD),31.3,32.58,31.82,22190.0,41060.0,29.89,31.82,29.89,43.1,4285324.0,1372873.0,6.882,0.48,17.89,1.75,"May 04, 2020 "," May 10, 2020","['N/A', '(N/A)']",,48.86,20.216101470790164,31.3,-1.2799999999999976,0.0,1.2799999999999976,0.1534776651448752,0.6057076078744158,0.2533857312498813,0.0
(FIS),139.91,142.75,139.94,135000.0,157120.0,135.62,140.7,104.73,158.21,4919045.0,3349654.0,86.23,0.59,211.98,0.66,"Apr 27, 2020 "," May 03, 2020","['1.40', '(0.98%)']","Mar 11, 2020",175.0,,,,,,,,,
(DLTR),80.24,77.99,76.0,79760.0,80240.0,75.56,80.54,75.56,119.71,3880012.0,2924881.0,18.99,0.44,23.12,3.47,"May 27, 2020 "," May 31, 2020","['N/A', '(N/A)']",,94.27,,,,,,,,,
(NTAP),44.0,43.93,42.16,41700.0,44040.0,41.77,44.15,41.77,78.35,4156789.0,2346965.0,9.732,1.57,10.32,4.26,M,a,"['1.92', '(4.37%)']","Apr 01, 2020",60.39,24.145227842261015,44.0,0.07000000000000027,0.07000000000000027,0.0,0.27026291901205296,0.8490593784525253,0.3183086199514426,0.0
