asset,current_price,prev_close,opens,bids,ask,day_range_min,day_range_max,fifty_two_wk_min,fifty_two_wk_max,volume,avg_volume,market_cap,beta,PE_ratio,eps,earnings_date_min,earnings_date_max,dividend_yield,dividend_date,one_year_est,RSI,Adj_Close,Change,Gain,Loss,AVG_gain,AVG_Loss,RS,target
(CHRW),66.08,66.38,64.61,65940.0,66320.0,64.14,66.39,64.14,91.97,3972305.0,1434555.0,8.914,0.58,15.77,4.19,"Apr 27, 2020 "," May 03, 2020","['2.04', '(3.07%)']","Mar 04, 2020",77.29,,,,,,,,,
(DISH),29.21,31.43,30.8,28660.0,29940.0,28.51,31.0,28.51,44.66,6281448.0,3064800.0,15.278,1.27,11.23,2.6,"Apr 30, 2020 "," May 04, 2020","['N/A', '(N/A)']","Dec 11, 2012",42.35,24.909986161336413,29.21,-2.2199999999999993,0.0,2.2199999999999993,0.25338202814215305,0.7638085335107292,0.3317350056008425,0.0
(SID),2.34,2.55,2.39,2300.0,2350.0,2.31,2.43,2.31,4.71,3486544.0,4356552.0,3.239,1.79,3.27,0.716,N,/,"['0.07', '(2.81%)']","Sep 26, 2019",15.36,,,,,,,,,
(SYY),66.95,67.65,66.02,65110.0,67290.0,65.13,67.3,65.13,85.98,3200924.0,2492988.0,34.045,0.68,19.16,3.49,"May 03, 2020 "," May 07, 2020","['1.80', '(2.66%)']","Apr 01, 2020",79.71,,,,,,,,,
(APO),40.5,42.74,41.07,39510.0,41890.0,38.78,41.5,27.69,52.67,3924836.0,2284806.0,16.651,1.63,10.92,3.71,"Apr 29, 2020 "," May 03, 2020","['3.56', '(8.33%)']","Feb 09, 2020",52.92,29.635755430488828,40.5,-2.240000000000002,0.0,2.240000000000002,0.2282098539170123,0.5418391986616624,0.4211763461940156,0.0
(DGX),112.02,115.68,116.84,115670.0,117500.0,108.72,116.84,82.71,118.58,3004172.0,974834.0,14.95,0.92,17.85,6.28,"Apr 20, 2020 "," Apr 26, 2020","['2.24', '(1.94%)']","Apr 05, 2020",111.73,,,,,,,,,
(ZTO),26.6,26.39,25.79,25880.0,27150.0,25.53,26.66,17.12,26.66,3206120.0,2262340.0,21.663,0.82,29.69,0.9,M,a,"['N/A', '(N/A)']","Mar 28, 2019",176.35,,,,,,,,,
(WES),11.06,12.55,12.27,11000.0,11690.0,11.06,12.32,11.06,35.75,3783362.0,1878059.0,4.91,1.45,6.94,1.59,"Apr 27, 2020 "," May 03, 2020","['2.49', '(19.82%)']","Jan 29, 2020",22.87,,,,,,,,,
(ALK),45.21,43.46,41.5,44850.0,46200.0,41.4,48.4,41.4,72.22,5034829.0,1436947.0,5.557,1.13,7.3,6.19,"Apr 22, 2020 "," Apr 26, 2020","['1.50', '(3.45%)']","Feb 13, 2020",75.85,,,,,,,,,
(SU),25.04,25.97,26.26,24890.0,25390.0,24.53,25.71,24.53,34.87,7492465.0,3706067.0,38.26,1.5,11.04,2.27,N,/,"['1.39', '(5.35%)']","Mar 02, 2020",42.83,,,,,,,,,
(BBL),34.89,36.28,34.8,34840.0,34940.0,34.41,35.4,34.41,51.87,3138995.0,1376101.0,88.003,0.97,9.4,3.71,N,/,"['2.60', '(7.17%)']","Mar 04, 2020",39.09,,,,,,,,,
(CF),36.84,37.99,37.2,35010.0,38730.0,36.09,37.49,35.18,55.15,3281557.0,2647395.0,7.964,1.06,16.52,2.23,"Apr 28, 2020 "," May 03, 2020","['1.20', '(3.16%)']","Feb 12, 2020",47.67,,,,,,,,,
(CSTM),9.52,10.17,9.82,9300.0,15100.0,9.3,9.9,7.92,15.1,3758160.0,1603904.0,1.308,1.68,6.58,1.45,"Apr 21, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,15.72,,,,,,,,,
(PEG),54.73,53.99,52.55,52010.0,55390.0,51.56,55.04,50.14,63.88,5177787.0,3019172.0,27.646,0.44,16.44,3.33,"Apr 29, 2020 "," May 03, 2020","['1.96', '(3.63%)']","Mar 08, 2020",65.07,,,,,,,,,
(CIEN),41.09,42.88,41.59,40510.0,41090.0,40.42,42.43,32.76,46.78,3365787.0,2796173.0,6.324,1.0,22.82,1.8,"Jun 03, 2020 "," Jun 07, 2020","['N/A', '(N/A)']",,50.95,,,,,,,,,
(CAR),24.13,24.87,23.06,24150.0,24190.0,21.54,25.37,21.54,52.98,5185332.0,1413319.0,1.794,1.88,6.06,3.98,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']","Feb 22, 2006",45.83,,,,,,,,,
(INFO),69.32,71.9,70.1,68710.0,75880.0,67.41,70.43,52.06,81.65,3324570.0,2107988.0,29.46,0.95,56.36,1.23,"Mar 23, 2020 "," Mar 29, 2020","['0.68', '(0.95%)']","Feb 04, 2020",83.13,31.83848381194129,69.32,-2.5800000000000125,0.0,2.5800000000000125,0.4477179520883711,0.9584983574974856,0.4671035151873441,2.0
(AER),47.45,47.56,46.0,47500.0,57070.0,45.32,47.81,40.16,64.86,3655826.0,996972.0,6.247,1.72,5.63,8.43,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,73.75,21.69550509258509,47.45,-0.10999999999999943,0.0,0.10999999999999943,0.2490104417600643,0.8987408583245273,0.2770658966415309,0.0
(PRU),69.81,72.26,68.47,69450.0,69840.0,67.95,71.79,67.95,106.4,5083728.0,2131304.0,27.715,1.59,6.91,10.11,M,a,"['4.40', '(6.09%)']","Feb 13, 2020",100.86,24.027769820140435,69.81,-2.450000000000003,0.0,2.450000000000003,0.5339091426659396,1.688141204338837,0.3162704288561252,0.0
(CAG),28.25,28.47,27.45,27520.0,29360.0,27.25,28.64,22.18,35.59,5988805.0,5071977.0,13.752,1.0,17.02,1.66,M,a,"['0.85', '(2.99%)']","Jan 29, 2020",33.4,40.35186996953182,28.25,-0.21999999999999886,0.0,0.21999999999999886,0.2414097740723063,0.3568519031550087,0.6764984912170782,2.0
(AXTA),23.63,24.01,23.33,23150.0,23740.0,22.97,23.74,22.97,32.2,3676795.0,2397303.0,5.554,1.46,22.29,1.06,"Apr 21, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,33.44,21.59086227639827,23.63,-0.38000000000000256,0.0,0.38000000000000256,0.1073917087161136,0.3900025469709658,0.275361557380056,0.0
(CMA),44.81,46.72,44.56,44010.0,46030.0,44.01,46.77,44.01,83.72,4823317.0,1836591.0,6.334,1.54,5.69,7.87,A,p,"['2.72', '(5.82%)']","Mar 11, 2020",68.98,,,,,,,,,
(LNC),38.12,41.17,38.84,37210.0,40070.0,37.13,40.16,37.13,67.52,3614810.0,1674950.0,7.448,1.89,8.7,4.38,"Apr 28, 2020 "," May 03, 2020","['1.60', '(3.89%)']","Apr 08, 2020",69.64,,,,,,,,,
(NEE),271.82,276.16,268.56,265000.0,271400.0,261.7,272.91,186.92,283.35,3449242.0,2262170.0,132.911,0.28,35.03,7.76,"Apr 20, 2020 "," Apr 26, 2020","['5.60', '(2.03%)']","Feb 26, 2020",266.94,53.69466906586418,271.82,-4.340000000000032,0.0,4.340000000000032,2.59109955690378,2.2345183339997403,1.1595785621797818,2.0
(WEN),19.19,19.27,18.65,19210.0,19060.0,18.18,19.31,16.25,24.04,3723227.0,2694981.0,4.28,0.75,33.09,0.58,M,a,"['0.48', '(2.54%)']","Feb 27, 2020",23.56,34.722542467258265,19.19,-0.0799999999999983,0.0,0.0799999999999983,0.16768595218687754,0.31524513601035803,0.5319224090466789,2.0
(FL),30.33,30.62,29.82,30010.0,30240.0,29.46,31.1,29.46,65.04,4941663.0,3080893.0,3.171,0.89,6.65,4.56,"May 21, 2020 "," May 25, 2020","['1.60', '(5.23%)']","Apr 15, 2020",44.55,31.925027435074288,30.33,-0.2900000000000027,0.0,0.2900000000000027,0.4084894685489825,0.8710379159762923,0.468968641957603,2.0
(PNC),114.23,120.69,115.38,112160.0,114220.0,112.12,118.49,112.12,161.79,3629886.0,2129827.0,48.973,1.19,10.04,11.38,A,p,"['4.60', '(3.81%)']","Jan 15, 2020",160.68,,,,,,,,,
(YUMC),42.57,44.17,43.13,41310.0,43140.0,41.9,43.86,38.38,50.74,3437111.0,2898483.0,15.997,1.02,23.14,1.84,"Apr 26, 2020 "," Apr 30, 2020","['0.48', '(1.06%)']","Mar 02, 2020",50.99,,,,,,,,,
(WRK),30.08,31.26,30.19,29270.0,30150.0,29.33,30.87,29.33,44.39,3481166.0,2517262.0,7.774,1.75,9.06,3.32,"Apr 27, 2020 "," May 03, 2020","['1.86', '(5.95%)']","Feb 12, 2020",46.38,24.68567490834017,30.08,-1.1800000000000033,0.0,1.1800000000000033,0.251951446711347,0.7686868289155588,0.32776865328471,0.0
(AL),35.07,35.0,33.6,35100.0,35110.0,33.47,35.48,31.98,49.96,3552658.0,805040.0,3.975,1.84,6.9,5.09,"May 06, 2020 "," May 10, 2020","['0.60', '(1.71%)']","Mar 18, 2020",56.88,24.87602544920007,35.07,0.07000000000000027,0.07000000000000027,0.0,0.23084008952309634,0.6971220159768373,0.3311329784924857,0.0
(OUT),24.69,25.0,24.11,22500.0,24900.0,23.78,24.78,21.91,31.2,3535828.0,1165219.0,3.559,1.13,25.45,0.97,"May 04, 2020 "," May 10, 2020","['1.46', '(5.84%)']","Mar 04, 2020",31.75,,,,,,,,,
(SPG),119.06,119.9,116.96,117010.0,118950.0,115.05,119.69,115.05,186.4,3574296.0,2310191.0,36.536,0.67,17.48,6.81,"Apr 27, 2020 "," May 03, 2020","['8.40', '(7.01%)']","Feb 12, 2020",161.31,,,,,,,,,
(ACN),178.75,182.56,177.45,178560.0,178750.0,173.92,180.31,160.5,216.39,3176765.0,2258232.0,113.675,1.09,23.85,7.49,M,a,"['3.20', '(1.75%)']","Jan 14, 2020",223.68,,,,,,,,,
(NXPI),111.69,115.27,110.74,111490.0,111670.0,109.14,114.07,85.38,139.59,3544483.0,2752667.0,31.245,1.34,131.4,0.85,"Apr 26, 2020 "," Apr 30, 2020","['1.50', '(1.24%)']","Dec 12, 2019",144.0,,,,,,,,,
(SWKS),95.71,98.59,94.74,93010.0,95590.0,93.33,97.9,66.29,128.48,2711834.0,2482731.0,16.286,1.3,20.04,4.78,"Apr 29, 2020 "," May 03, 2020","['1.76', '(1.79%)']","Feb 09, 2020",126.72,33.646740009587376,95.71,-2.8800000000000097,0.0,2.8800000000000097,1.0667672734455866,2.103724944051917,0.5070849573095427,2.0
(GS),192.85,198.79,190.68,189410.0,192740.0,189.28,196.3,180.73,250.46,4763366.0,3105259.0,66.663,1.36,9.17,21.03,"Apr 12, 2020 "," Apr 16, 2020","['5.00', '(2.52%)']","Feb 27, 2020",265.07,,,,,,,,,
(RTN),183.16,184.52,179.04,177020.0,185160.0,175.99,184.59,169.64,233.48,3594748.0,1930426.0,50.999,0.93,15.36,11.92,"Apr 22, 2020 "," Apr 26, 2020","['3.77', '(2.04%)']","Jan 06, 2020",249.92,26.84162837712836,183.16,-1.3600000000000136,0.0,1.3600000000000136,1.1510217641486788,3.137174719226598,0.3668975645807952,0.0
(COF),82.29,85.08,81.67,81720.0,83880.0,80.56,83.39,78.45,107.59,4134022.0,2329804.0,37.617,1.26,7.45,11.05,"Apr 22, 2020 "," Apr 26, 2020","['1.60', '(1.88%)']","Feb 06, 2020",116.06,,,,,,,,,
(ESI),9.62,10.01,9.59,9580.0,9620.0,9.43,9.99,8.55,12.74,2781429.0,2224640.0,2.428,1.95,27.41,0.35,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,13.57,27.761546352330484,9.62,-0.39000000000000057,0.0,0.39000000000000057,0.07765789417862852,0.2020739809591893,0.3843042721779815,0.0
(STOR),32.1,33.08,32.4,32060.000000000004,33180.0,31.28,32.62,31.12,40.96,3110889.0,2000572.0,7.838,0.43,25.91,1.24,"Apr 29, 2020 "," May 03, 2020","['1.40', '(4.23%)']","Dec 29, 2019",41.42,26.777333626350046,32.1,-0.9799999999999968,0.0,0.9799999999999968,0.18247321265054048,0.4989733241733463,0.3656973305193129,0.0
(DLPH),12.55,12.95,12.47,12010.0,12980.0,12.39,12.89,9.52,26.82,3420210.0,2530052.0,1.08,2.46,66.05,0.19,F,e,"['N/A', '(N/A)']","Nov 04, 2018",15.64,,,,,,,,,
(ARI),16.35,16.42,16.03,16329.999999999998,16930.0,15.57,16.37,15.57,19.76,3427832.0,1360914.0,2.519,0.72,11.65,1.4,"Apr 21, 2020 "," Apr 26, 2020","['1.60', '(9.74%)']","Mar 29, 2020",17.72,,,,,,,,,
(TOT),42.31,43.54,42.5,42010.0,42980.0,41.89,42.78,41.32,58.82,3421080.0,2080665.0,109.036,0.82,10.15,4.17,N,/,"['2.93', '(6.73%)']","Jan 01, 2020",70.17,28.6520989962948,42.31,-1.2299999999999969,0.0,1.2299999999999969,0.23515025491348585,0.5855583952412365,0.4015829280640906,0.0
(FTNT),99.5,104.0,101.01,97010.0,99460.0,97.72,102.73,68.87,121.82,3417920.0,1311231.0,17.165,1.19,53.21,1.87,"Apr 29, 2020 "," May 03, 2020","['N/A', '(N/A)']",,130.04,35.1563053450933,99.5,-4.5,0.0,4.5,0.9898133816630962,1.8256513605705256,0.5421699909635398,2.0
(TMHC),21.7,23.1,22.25,21010.0,21960.0,21.1,22.5,16.4,28.47,3387368.0,2609086.0,2.918,0.69,9.23,2.35,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,32.33,,,,,,,,,
(HOLX),46.75,47.36,46.06,45560.0,48130.0,45.73,47.11,42.61,55.25,2889637.0,2028906.0,12.309,0.91,151.79,0.31,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,57.3,,,,,,,,,
(TAL),56.49,58.49,57.01,55870.0,56990.0,55.23,57.61,30.78,59.76,3368471.0,3601191.0,33.431,0.29,330.35,0.17,"Apr 22, 2020 "," Apr 26, 2020","['N/A', '(N/A)']","May 08, 2017",59.51,,,,,,,,,
(COLD),31.48,31.73,30.71,30020.0,32930.0,30.15,31.62,29.1,40.42,3357151.0,1939165.0,6.301,0.7,121.08,0.26,F,e,"['0.80', '(2.40%)']","Dec 29, 2019",38.63,37.73222885137282,31.48,-0.25,0.0,0.25,0.2871322373653959,0.473841195973009,0.6059672308056379,2.0
(KMB),146.46,143.31,139.14,145130.0,146630.0,138.64,147.34,114.92,149.23,3357692.0,1578293.0,50.059,0.54,23.47,6.24,A,p,"['4.28', '(2.99%)']","Mar 04, 2020",141.46,59.029549224077996,146.46,3.1500000000000057,3.1500000000000057,0.0,1.328593631189753,0.9221327400152354,1.4407834941071522,2.0
(OKE),61.21,68.69,66.48,60330.0,63950.0,59.89,66.7,59.89,78.48,6546462.0,2292067.0,25.299,1.18,19.94,3.07,"Apr 27, 2020 "," May 03, 2020","['3.74', '(5.44%)']","Jan 23, 2020",78.0,,,,,,,,,
(TSN),64.65,67.01,65.14,63380.0,65090.0,63.33,65.78,62.58,94.24,4696202.0,2880780.0,23.6,0.58,11.67,5.54,"May 03, 2020 "," May 07, 2020","['1.68', '(2.51%)']","May 28, 2020",97.0,,,,,,,,,
(TRMB),40.0,40.27,38.78,38360.0,39950.0,38.41,40.44,35.86,46.67,4302285.0,1055549.0,9.965,1.97,19.7,2.03,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,45.67,36.875871720514546,40.0,-0.2700000000000031,0.0,0.2700000000000031,0.2614224513979169,0.4475030307690148,0.5841802924746088,2.0
(CDNS),64.73,67.84,64.7,63010.0,65190.0,62.98,65.82,57.76,80.4,2656221.0,1749421.0,18.135,1.16,18.34,3.53,"Apr 19, 2020 "," Apr 23, 2020","['N/A', '(N/A)']",,84.38,36.527213613743655,64.73,-3.1099999999999994,0.0,3.1099999999999994,0.6683746963700192,1.1614245963921797,0.5754783379362222,2.0
(ADP),159.17,160.67,153.42,159450.0,159150.0,153.01,160.11,148.15,182.32,3026690.0,2024339.0,68.722,0.89,28.12,5.66,"Apr 28, 2020 "," May 03, 2020","['3.64', '(2.27%)']","Mar 11, 2020",185.76,39.4191547608204,159.15,-1.5199999999999818,0.0,1.5199999999999818,1.4072500658131823,2.16271502946045,0.6506867740981392,2.0
(MGP),27.05,27.98,27.27,27000.0,28480.0,26.03,27.5,26.03,34.37,3307578.0,1515998.0,8.954,0.6,27.89,0.97,"Apr 27, 2020 "," May 03, 2020","['1.88', '(6.48%)']","Dec 29, 2019",35.65,,,,,,,,,
(PEB),17.94,17.96,17.24,17020.0,23000.0,17.13,18.89,17.13,33.59,2293606.0,1591998.0,2.474,1.36,28.48,0.63,"Apr 22, 2020 "," Apr 26, 2020","['1.52', '(7.92%)']","Dec 29, 2019",26.58,14.059396157429262,17.94,-0.01999999999999957,0.0,0.01999999999999957,0.06691602093117878,0.40903629012038106,0.16359433758673372,0.0
(LBTYK),18.2,18.63,18.12,18210.0,18160.0,17.8,18.35,17.8,27.84,3110775.0,3021888.0,11.673,1.21,1.11,16.32,"May 03, 2020 "," May 07, 2020","['N/A', '(N/A)']",,31.5,36.45888357430285,18.2,-0.4299999999999997,0.0,0.4299999999999997,0.12883583700584358,0.2245371255624628,0.5737841200340984,2.0
(EXEL),18.65,19.18,18.84,18300.0,19320.0,18.33,19.05,15.02,25.31,2999690.0,3449563.0,5.696,1.34,18.28,1.02,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,24.54,,,,,,,,,
(CERN),73.36,72.57,70.45,66830.0,73990.0,70.26,73.72,54.6,80.9,3212651.0,1997114.0,22.884,0.9,44.46,1.65,"Apr 22, 2020 "," Apr 26, 2020","['0.72', '(0.98%)']","Dec 25, 2019",79.35,,,,,,,,,
(LSCC),18.65,19.05,18.29,18060.0,18970.0,17.76,18.91,11.06,24.2,3252496.0,2089075.0,2.598,1.44,58.28,0.32,F,e,"['N/A', '(N/A)']",,23.29,46.5860732084003,18.65,-0.4000000000000021,0.0,0.4000000000000021,0.2841266142751876,0.3257694226888262,0.8721709113460423,2.0
(VFC),70.13,71.57,69.47,67320.0,73500.0,68.68,71.68,68.68,100.25,3416893.0,2873637.0,27.682,0.97,21.75,3.22,"May 19, 2020 "," May 24, 2020","['1.92', '(2.68%)']","Mar 08, 2020",97.48,,,,,,,,,
(EURN),8.53,8.44,8.46,8270.0,8480.0,8.39,8.74,7.21,13.21,2331008.0,2050124.0,1.862,0.89,15.51,0.55,N,/,"['0.12', '(1.33%)']","Sep 25, 2019",14.75,,,,,,,,,
(BGCP),4.57,4.74,4.61,4570.0,4570.0,4.48,4.7,4.46,6.15,3245050.0,2089827.0,1.622,1.94,28.74,0.159,"May 04, 2020 "," May 10, 2020","['0.56', '(11.81%)']","Feb 24, 2020",8.5,29.819645983187215,4.57,-0.16999999999999993,0.0,0.16999999999999993,0.032236091930986484,0.07586744474131911,0.4249001932370339,0.0
(RLJ),12.17,12.14,11.58,10870.0,16149.999999999998,11.54,12.69,11.54,19.04,3232459.0,1697204.0,2.052,1.45,20.63,0.59,"May 05, 2020 "," May 10, 2020","['1.32', '(9.66%)']","Dec 29, 2019",18.08,,,,,,,,,
(BPY),16.82,17.4,16.96,16830.0,17330.0,16.62,17.1,15.78,21.22,3217900.0,1636613.0,15.947,0.99,8.93,1.88,"Oct 29, 2019 "," Nov 03, 2019","['1.33', '(7.64%)']","Feb 26, 2020",21.8,,,,,,,,,
(BRX),18.29,18.39,17.93,13740.0,21750.0,17.78,18.38,16.86,22.74,3141807.0,2751855.0,5.451,0.88,19.9,0.92,M,a,"['1.14', '(6.20%)']","Apr 02, 2020",21.63,34.789174985250554,18.29,-0.10000000000000142,0.0,0.10000000000000142,0.11678010557889056,0.21889932811967056,0.5334877296427688,2.0
(ZTS),137.05,139.56,134.92,131000.0,142000.0,131.83,137.6,92.55,146.26,3111290.0,2064021.0,65.09,0.73,44.07,3.11,"Apr 29, 2020 "," May 03, 2020","['0.80', '(0.57%)']","Apr 15, 2020",152.91,,,,,,,,,
(ADBE),336.77,351.03,340.45,332100.0,336760.0,326.69,344.12,249.1,386.75,4344200.0,2647088.0,162.75,0.97,56.13,6.0,M,a,"['N/A', '(N/A)']","Mar 23, 2005",360.46,,,,,,,,,
(AMGN),210.65,212.12,203.97,208060.0,210650.0,203.94,211.61,166.3,244.99,3100544.0,2473539.0,124.243,1.13,16.35,12.88,"Apr 27, 2020 "," May 03, 2020","['6.40', '(3.02%)']","May 14, 2020",245.78,,,,,,,,,
(NYT),37.48,37.37,36.69,35000.0,40680.0,36.23,37.59,27.35,40.22,1707992.0,1521093.0,6.284,1.12,45.16,0.83,"May 05, 2020 "," May 10, 2020","['0.24', '(0.64%)']","Apr 06, 2020",37.2,,,,,,,,,
(FDX),127.68,129.28,125.75,126200.0,126900.0,123.79,130.65,123.79,199.32,3880287.0,3205347.0,33.34,1.56,469.41,0.27,M,a,"['2.60', '(2.00%)']","Mar 05, 2020",172.08,28.73514477127921,127.68,-1.0699999999999932,0.0,1.0699999999999932,0.8807528889848567,2.1843191543102582,0.4032162091546424,0.0
(ROST),102.51,101.69,97.59,102140.0,103000.0,97.34,103.41,88.31,124.16,3940181.0,1862036.0,36.789,0.71,22.28,4.6,M,a,"['1.14', '(1.12%)']","Mar 15, 2020",121.21,,,,,,,,,
(PLD),85.88,89.71,86.35,85420.0,86490.0,82.28,86.4,68.96,99.79,5232844.0,3732903.0,63.443,1.13,34.85,2.46,"Apr 13, 2020 "," Apr 19, 2020","['2.32', '(2.59%)']","Mar 12, 2020",100.5,,,,,,,,,
(CAKE),31.44,31.16,30.06,31380.0,32740.000000000004,29.56,32.78,29.56,51.15,1964849.0,909437.0,1.403,0.59,10.99,2.86,"Apr 28, 2020 "," May 03, 2020","['1.44', '(4.57%)']","Mar 05, 2020",43.81,,,,,,,,,
(HFC),28.61,30.84,29.77,28260.0,28740.0,28.18,30.02,28.18,58.88,3590928.0,2197762.0,4.631,1.48,6.21,4.61,"Apr 29, 2020 "," May 03, 2020","['1.40', '(4.54%)']","Feb 20, 2020",54.07,,,,,,,,,
(PSEC),5.54,5.63,5.5,5500.0,5500.0,5.37,5.57,5.37,6.87,3376435.0,2148334.0,2.037,0.84,15.05,0.37,"May 05, 2020 "," May 10, 2020","['0.72', '(12.79%)']","Mar 29, 2020",6.0,29.424686458455852,5.54,-0.08999999999999986,0.0,0.08999999999999986,0.030685843419491612,0.07360020721631161,0.4169260465436689,0.0
(RY),72.69,74.31,72.78,72000.0,72580.0,72.17,73.5,72.17,82.74,3046582.0,1109283.0,103.849,0.96,11.56,6.29,"Nov 29, 2016 "," Dec 04, 2016","['3.26', '(4.38%)']","Apr 21, 2020",88.84,27.894599702053966,72.69,-1.6200000000000043,0.0,1.6200000000000043,0.2689662949662429,0.6952572387611045,0.386858676143409,0.0
(OGE),37.75,38.94,37.64,35000.0,42450.0,36.69,37.88,36.69,46.43,3004975.0,1290486.0,7.717,0.54,17.48,2.16,"Apr 29, 2020 "," May 03, 2020","['1.55', '(3.93%)']","Apr 07, 2020",43.11,26.267377085931145,37.75,-1.1899999999999975,0.0,1.1899999999999975,0.20690744691782506,0.5807899552283718,0.3562517654708184,0.0
(CUK),25.71,26.62,25.83,25370.0,26730.0,25.09,27.78,25.09,56.79,3036991.0,571750.0,18.811,1.39,5.95,4.32,"Mar 23, 2020 "," Mar 29, 2020","['2.00', '(7.51%)']","Feb 19, 2020",44.0,,,,,,,,,
(EA),107.67,110.21,106.45,105010.0,107670.0,105.0,108.76,86.24,114.13,3663969.0,2524500.0,31.189,1.04,11.34,9.5,M,a,"['N/A', '(N/A)']",,119.55,,,,,,,,,
(BERY),34.95,35.26,34.42,35050.0,39990.0,33.95,35.13,33.95,59.16,2595637.0,1522752.0,4.627,1.4,12.99,2.69,"Apr 29, 2020 "," May 03, 2020","['N/A', '(N/A)']",,57.31,,,,,,,,,
(XRX),31.29,31.66,30.6,30090.0,32130.000000000004,30.41,31.47,27.25,39.47,1964052.0,2281765.0,6.663,1.81,5.39,5.8,"Apr 21, 2020 "," Apr 26, 2020","['1.00', '(2.65%)']","Dec 29, 2019",41.0,35.05325918792927,31.29,-0.37000000000000105,0.0,0.37000000000000105,0.3352379138811685,0.6211294015911945,0.5397231446818715,2.0
(IP),35.71,36.53,35.24,35010.0,37260.0,34.87,36.05,34.87,47.96,3970938.0,2971078.0,14.003,1.51,11.63,3.07,A,p,"['2.05', '(5.61%)']","Feb 19, 2020",45.25,29.197011359169288,35.71,-0.8200000000000003,0.0,0.8200000000000003,0.24463771245249946,0.5932484309033043,0.4123697589557955,0.0
(AVGO),269.72,274.04,266.98,267550.0,269610.0,262.55,270.93,250.09,331.58,3016877.0,2623362.0,107.742,0.87,41.94,6.43,"Dec 04, 2019 "," Dec 09, 2019","['13.00', '(4.74%)']","Dec 19, 2019",350.75,35.435238167258404,269.45,-4.590000000000032,0.0,4.590000000000032,2.428152077272503,4.424213541977311,0.5488324770569935,2.0
(PAGS),27.5,29.51,28.32,27490.0,33490.0,26.52,28.35,24.26,53.43,2956031.0,2168926.0,8.868,0.36,39.51,0.7,F,e,"['N/A', '(N/A)']",,203.59,,,,,,,,,
(STWD),22.38,23.0,22.29,22300.0,23000.0,21.72,22.65,21.26,26.33,2943867.0,1598832.0,6.325,0.71,12.52,1.79,"May 05, 2020 "," May 10, 2020","['1.92', '(8.35%)']","Mar 29, 2020",26.5,,,,,,,,,
(TEL),78.69,81.37,77.65,75080.0,90000.0,77.23,79.86,77.23,101.0,2438074.0,1687465.0,26.294,1.18,16.69,4.71,"Apr 21, 2020 "," Apr 26, 2020","['1.84', '(2.26%)']","Feb 19, 2020",101.69,,,,,,,,,
(BUD),53.8,55.57,54.59,52960.0,53800.0,53.2,55.17,53.2,102.7,2941738.0,1496165.0,106.068,1.05,11.88,4.53,N,/,"['2.01', '(3.61%)']","Nov 18, 2019",82.29,11.063951060575363,53.8,-1.7700000000000031,0.0,1.7700000000000031,0.14626668467780432,1.175744628251827,0.124403447111881,0.0
(MIK),3.65,3.7,3.52,3600.0,3660.0,3.4501,3.9,3.4501,13.7,2950757.0,4963311.0,561.41M,1.11,2.1,1.7380000000000002,M,a,"['N/A', '(N/A)']",,7.42,29.470992530726814,3.65,-0.05000000000000026,0.0,0.05000000000000026,0.060696316462832675,0.145256422996315,0.4178563344105787,0.0
(LLY),141.46,140.15,136.12,140750.0,141450.0,135.55,142.36,101.36,147.87,7549445.0,3883719.0,135.29,0.36,15.91,8.89,A,p,"['2.96', '(2.11%)']","Feb 12, 2020",146.14,,,,,,,,,
(NUE),39.61,40.77,39.69,39030.0,39190.0,38.86,40.93,38.86,61.17,2912998.0,2293193.0,11.923,1.63,9.57,4.14,"Apr 20, 2020 "," Apr 26, 2020","['1.61', '(3.95%)']","Mar 29, 2020",57.0,,,,,,,,,
(TSG),23.06,23.47,23.02,22490.0,24170.0,22.64,23.53,12.59,26.64,2894082.0,1589198.0,6.665,1.34,104.82,0.22,N,/,"['N/A', '(N/A)']",,27.78,42.00764151312664,23.06,-0.41000000000000014,0.0,0.41000000000000014,0.1816164480729706,0.25072500584135754,0.7243651165288462,2.0
(XLNX),79.86,81.06,78.88,79190.0,79860.0,78.28,80.48,76.52,141.6,2860989.0,3574937.0,19.872,1.08,23.42,3.41,"Apr 21, 2020 "," Apr 26, 2020","['1.48', '(1.83%)']","Feb 09, 2020",101.81,,,,,,,,,
(PUMP),6.92,8.04,7.72,6800.0,7690.0,6.49,7.73,6.49,25.38,2879618.0,1393536.0,696.27M,1.88,3.58,1.93,M,a,"['N/A', '(N/A)']",,14.12,31.158231543687183,6.92,-1.1199999999999992,0.0,1.1199999999999992,0.15129701767422848,0.33427937796328977,0.45260649518991203,2.0
